"source_file","window_index","aircraft_id","aircraft_name","start_time_s","end_time_s","duration_s","sample_count","altitude_start_m","altitude_end_m","altitude_delta_m","ground_speed_start_mps","ground_speed_end_mps","ground_speed_delta_mps","ground_speed_mean_mps","total_speed_mean_mps","vertical_speed_mean_mps","sink_rate_peak_mps","climb_rate_peak_mps","track_change_deg","track_rate_mean_abs_deg_s","track_rate_peak_abs_deg_s","roll_mean_abs_deg","roll_peak_abs_deg","pitch_mean_abs_deg","pitch_peak_abs_deg","acceleration_mean_mps2","acceleration_peak_abs_mps2","label","label_version"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","1","16777472","A-10C","1200.001","1204.936","4.934999999999945","75","2000.034","2000.034","0.0","124.94343262648141","124.94399274009942","0.0005601136180075628","124.9435343450255","124.9435343450255","0.0","-0.0","0.0","0.0024453411037939077","0.005787240998082016","0.02013641872707612","0.00130168","0.001304","5.012298493333334","5.012564","9.346389060677151e-05","0.04979911244252182","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","2","16777472","A-10C","1201.001","1205.937","4.935999999999922","75","2000.034","2000.034","0.0","124.94311057286782","124.94318466107096","7.408820313514752e-05","124.9435904416536","124.9435904416536","0.0","-0.0","0.0","0.0027607203144270898","0.0058380504650004115","0.02013641872707612","0.0013006666666666666","0.001304","5.012190613333333","5.012456","-0.00020699744187820785","0.04979911244252182","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","3","16777472","A-10C","1202.002","1206.936","4.933999999999969","75","2000.034","1999.871","-0.16300000000001091","124.94352024727765","124.87590484345488","-0.06761540382277076","124.93989234590478","124.93995528158048","-0.03268538426749123","0.7313432835816843","0.0","-0.1596417686661198","0.0374747089327542","0.6390565170174475","0.7377427333333334","14.374685","4.907289186666667","5.012348","-0.012974146607999252","0.16526698914592852","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","4","16777472","A-10C","1203.003","1207.94","4.9370000000001255","75","2000.034","1996.988","-3.046000000000049","124.94220193174661","124.66754628845192","-0.27465564329469316","124.90527585853204","124.91332565754475","-0.6073091004205383","5.088235294118926","0.0","-1.6236262328460498","0.32761468955336326","1.952134187980119","7.24159224","41.145941","4.2773393466666665","5.01224","-0.03454671296108575","0.16526698914592852","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","5","16777472","A-10C","1204.004","1208.94","4.936000000000149","75","2000.034","1989.213","-10.82100000000014","124.94497737504757","124.40993517917629","-0.5350421958712843","124.82299260890129","124.88118562770264","-2.162097041968776","10.074626865669869","0.0","-3.9666084883203325","0.7950618077577448","3.1458467853648884","16.671882826666668","51.996441","3.33108208","5.012132","-0.025191107826003336","0.16526698914592852","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","6","16777472","A-10C","1205.005","1209.94","4.934999999999945","75","2000.034","1976.931","-23.103000000000065","124.94386026516231","124.17304979710867","-0.7708104680536394","124.69011072377621","124.87044049751225","-4.618657911008953","14.045454545446558","0.0","-7.615599864659941","1.523484059800873","4.687632480490901","27.498662773333333","55.91963","2.451496973333333","5.012024","0.004207456903357698","0.20791564370252355","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","7","16777472","A-10C","1206.003","1210.939","4.936000000000149","75","2000.034","1961.33","-38.70400000000018","124.94314538786578","123.99763488794072","-0.9455104999250636","124.51628065969662","124.89290325917229","-7.742133935520907","16.787878787873566","0.0","-12.512502470145762","2.502639110467306","5.76235396477437","38.90429262666667","57.626101","1.5752222","5.011917","0.037252593954444385","0.2204384306223044","steady","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","8","16777472","A-10C","1207.003","1211.939","4.936000000000149","75","1999.808","1943.606","-56.202","124.86357977591749","123.86241548077638","-1.001164295141109","124.31578018231","124.94474707984416","-11.254496496771916","18.378787878778745","0.0","-18.291137045072617","3.6700964137111782","6.807232355905693","49.78443616","58.325151","0.7407517866666666","3.071787","0.06816293379883846","0.2204384306223044","descent","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","9","16777472","A-10C","1208.007","1212.94","4.932999999999993","75","1996.624","1924.775","-71.84899999999993","124.6520665944753","123.73475986059645","-0.9173067338788456","124.12053964990795","125.02581138343186","-14.442399470630471","19.104477611937817","0.0","-23.528311829227334","4.7301227434884945","7.497439235382492","54.96629203999999","58.499716","0.3846984133333333","0.718299","0.08595158984115074","0.2204384306223044","descending_turn","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","10","16777472","A-10C","1209.006","1213.939","4.932999999999993","75","1988.53","1905.553","-82.97699999999986","124.39199956285549","123.5393631982605","-0.8526363645949857","123.94426492193253","125.0970179715724","-16.735859732736838","19.30303030301955","0.0","-28.19177942811399","5.677718046998385","7.868810588187023","57.23776230666667","58.511622","0.39508694666666666","0.718299","0.04404984536471823","0.3558778585658119","descending_turn","heuristic_ms2_v1"
"C:\Users\?seoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\session.txt.acmi","11","16777472","A-10C","1210.006","1214.94","4.933999999999969","75","1975.989","1886.299","-89.69000000000005","124.16177660352932","122.76577894476976","-1.3959976587595548","123.72515566700497","125.05430568471672","-18.126233299477246","19.30303030301955","0.0","-31.88591333631723","6.430188767323316","8.30385887308501","58.111350773333335","58.511622","0.39758346666666666","0.774423","-0.1432866587515521","1.2053093320652575","descending_turn","heuristic_ms2_v1"
